OBJECTID,INTERZONE,NAME,TOTPOP2011,RESPOP2011,HHCNT2011,STDAREAHA,STDAREAKM2,POPULATION,FIVE_YEAR_POPULATION,ACC_POIS_PER_1000,ASSAULT_RATE_PER_1000,BURNS_PER_1000,FALLS_PER_1000,GYN_AND_OBS_PER_1000,HOME_ACCIDENTS_PER_1000,INJURY_OTHER_PER_1000,INTENTIONAL_SELF_HARM_PER_1000,MEDICAL_CONDITION_PER_1000,NEEDLESTICK_PER_1000,PERSONAL_ACTIVITY_PER_1000,PLAYING_PER_1000,PSYCHIATRIC_CONDITION_PER_1000,ROAD_TRAFFIC_ACCIDENT_PER_1000,RTA_PEDESTRIAN_PER_1000,SPORTING_INJURY_PER_1000,SURGICAL_CONDITION_PER_1000,UNSPECIFIED_PER_1000,NO_OF_TOP_5S_ADJUSTED,ACORN_GROUP,SHAPE__AREA,SHAPE__LENGTH,SHAPEAREA,SHAPELEN
1,S02001842,Darnley East,5033,4970,2123,100.699216,1.006994,5104,25520,0.35266458,3.09561129,1.95924765,18.37774295,2.42946708,4.42789969,103.48746082,1.09717868,154.34952978,0.03918495,1.05799373,3.44827586,1.88087774,6.70062696,0.50940439,8.97335423,14.69435737,54.07523511,,,1006992.17886353,5983.09351814,1006992.17885579,5983.09351813641
2,S02001843,Darnley North,2813,2716,1131,358.577995,3.585779,3542,17710,0.50818746,2.76679842,1.52456239,24.39299831,1.97628458,4.34782609,108.18746471,0.95990966,185.99661208,0.16939582,1.41163185,4.51722191,2.48447205,9.37323546,0.33879164,11.80124224,16.31846414,66.29023151,1,,3585779.9100647,17583.01161834,3585779.91030642,17583.011618333
3,S02001844,Darnley West,4741,4642,1680,123.275588,1.232757,5461,27305,0.14649332,1.90441311,1.50155649,16.81010804,2.0142831,2.30726973,80.64457059,0.95220656,150.81486907,0.07324666,0.98882988,3.73557956,2.63687969,6.92180919,0.47610328,8.64310566,13.9901117,53.6898004,,,1232755.85876465,7988.52117856,1232755.8586635,7988.52117855757
4,S02001845,Nitshill,5836,5764,2590,196.969413,1.969695,6330,31650,0.44233807,3.94944708,1.73775671,20.85308057,3.25434439,3.94944708,119.27330174,2.46445498,239.87361769,0.18957346,1.39020537,4.96050553,5.24486572,8.05687204,0.44233807,7.36176935,23.79146919,85.18167457,3,"Difficult Circumstances, Struggling Estates, Poorer Pensioners, Striving Families",1969694.14707947,8594.06121849,1969694.14695509,8594.0612184929
5,S02001846,Crookston South,3387,3342,1439,83.574894,0.83575,3380,16900,0.88757396,3.60946746,1.71597633,24.79289941,3.55029586,3.66863905,131.77514793,2.01183432,253.60946746,0.29585799,1.42011834,5.26627219,4.37869822,8.87573964,0.76923077,7.5147929,22.6035503,76.98224852,5,"Difficult Circumstances, Poorer Pensioners",835748.94404602,5357.58322046,835748.9440275,5357.58322045904
6,S02001853,Penilee,5309,5261,2300,88.266227,0.882666,5279,26395,0.53040349,2.9929911,1.17446486,19.96590263,2.91721917,3.22030688,110.02083728,1.4396666,195.49157037,0.22731578,0.87137715,3.97802614,3.56128055,6.13752605,0.45463156,5.30403486,18.03371851,65.35328661,,,882662.21401978,5074.67712185,882662.214013895,5074.67712185297
7,S02001854,Hillington,3519,3519,1628,54.671807,0.54672,3377,16885,0.41456914,2.07284572,1.65827658,14.68759254,2.30974237,2.19129405,90.31684927,1.00681078,162.09653539,0.23689665,0.76991412,3.7311223,2.78353568,6.45543382,0.17767249,4.08646728,16.93811075,51.76191886,,,546718.0712738,4838.99310227,546718.0713305,4838.99310226887
8,S02001855,Drumoyne and Shieldhall,6268,6191,3173,328.281176,3.282811,6241,31205,0.4806922,5.06329114,1.47412274,17.36901138,2.49959942,2.49959942,107.32254446,1.98686108,209.61384394,0.22432303,0.92933825,3.10847621,4.00576831,5.57602948,0.4806922,5.3837526,21.08636436,64.989585,1,,3282811.72851563,11770.30196216,3282811.7285349,11770.3019621621
9,S02001856,Govan and Linthouse,4899,4822,2687,162.864953,1.628651,6065,30325,0.8573784,5.07831822,1.35201979,16.784831,3.39653751,1.78070899,95.39983512,3.59439406,203.82522671,0.19785655,0.62654575,3.03380049,9.26628195,3.92415499,0.46166529,3.16570486,18.16982688,73.23990107,3,Difficult Circumstances,1628649.54388428,9592.86421669,1628649.54367862,9592.86421668331
10,S02001857,Craigton,3303,3303,1770,100.520734,1.00521,3516,17580,0.7963595,3.58361775,1.76336746,18.8850967,2.61660978,2.61660978,101.47895336,1.53583618,205.74516496,0.11376564,0.68259386,3.58361775,4.32309443,5.80204778,0.51194539,4.60750853,15.87030717,60.01137656,,,1005207.31393433,7191.02963475,1005207.313918,7191.02963475143
11,S02001858,Mosspark,5240,5231,2337,211.483232,2.114831,5126,25630,0.35115099,2.49707374,1.44362076,16.42606321,1.98985564,2.88724151,86.73429575,0.89738588,151.46312915,0.07803355,0.8583691,3.19937573,2.06788919,5.61841592,0.31213422,6.74990246,15.48966055,47.36636754,,,2114832.35215759,8590.15764964,2114832.352177,8590.15764964503
