"HospitalCode","HospitalName","AddressLine1","AddressLine2","AddressLine2QF","AddressLine3","AddressLine3QF","AddressLine4","AddressLine4QF","Postcode","HealthBoard","HSCP","CouncilArea","IntermediateZone","DataZone","NAME","TOTPOP2011","RESPOP2011","HHCNT2011","STDAREAHA","STDAREAKM2","POPULATION","Month","Country","HBT","DepartmentType","NumberOfAttendancesAll","NumberWithin4HoursAll","NumberOver4HoursAll","NumberOfAttendancesEpisode","NumberWithin4HoursEpisode","NumberWithin4HoursEpisodeQF","NumberOver4HoursEpisode","NumberOver8HoursEpisode","NumberOver12HoursEpisode"
"G106H","Glasgow Dental Hospital and School","378 Sauchiehall Street","Glasgow","","","z","","z","G2  3JZ","S08000031","S37000034","S12000049","S02001933","S01010267","City Centre West",4453,4208,2436,73.445504,0.734454,5676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G107H","Glasgow Royal Infirmary","84 Castle Street","Glasgow","","","z","","z","G4  0SF","S08000031","S37000034","S12000049","S02001932","S01010262","City Centre East",9139,5800,3766,166.148851,1.661492,10486,201112,"S92000003","S08000031","Type 1",7085,6839,246,7085,6839,"",246,8,0
"G108H","The Princess Royal Maternity Unit","16 Alexandra Parade","Glasgow","","","z","","z","G31 2ER","S08000031","S37000034","S12000049","S02001932","S01010262","City Centre East",9139,5800,3766,166.148851,1.661492,10486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G109H","Lightburn Hospital","966 Carntyne Road","Glasgow","","","z","","z","G32 6NB","S08000031","S37000034","S12000049","S02001914","S01010159","Cranhill, Lightburn and Queenslie South",6265,6126,2810,134.637811,1.346375,6554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G112H","Parkview Resource Centre","152 Wellshot Road","Glasgow","","","z","","z","G32 7AX","S08000031","S37000034","S12000049","S02001911","S01010144","Tollcross",3554,3554,1854,42.128473,0.421282,4052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G113H","Auchinlea Resource Centre","Auchinlea House","Auchinlea Road","","Glasgow","","","z","G34 9HQ","S08000031","S37000034","S12000049","S02001906","S01010114","Garthamlock, Auchinlea and Gartloch",3633,3633,1498,583.160592,5.831604,4631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G207H","Stobhill Hospital","133 Balornock Road","Glasgow","","","z","","z","G21 3UW","S08000031","S37000034","S12000049","S02001922","S01010209","Springburn",4716,4577,2371,167.465085,1.674651,4539,201112,"S92000003","S08000031","Type 3",1034,1033,1,1034,1033,"",1,0,0
"G212H","Shawpark Resource Centre","41 Shawpark Street","Glasgow","","","z","","z","G20 9DR","S08000031","S37000034","S12000049","S02001949","S01010359","Wyndford",3619,3619,2261,48.475596,0.484755,4306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G214H","Springpark Resource Centre/Day Hosp","101 Denmark Street","Glasgow","","","z","","z","G22 5EU","S08000031","S37000034","S12000049","S02001924","S01010224","Cowlairs and Port Dundas",3609,3477,1904,213.117754,2.131177,4026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G302H","Leverndale Hospital","510 Crookston Road","Glasgow","","","z","","z","G53 7TU","S08000031","S37000034","S12000049","S02001849","S01009804","Pollok North and East",6145,5999,2515,197.646011,1.976461,5869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G306H","New Victoria Hospital","55 Grange Road","Glasgow","","","z","","z","G42 9LF","S08000031","S37000034","S12000049","S02001867","S01009904","Battlefield",4990,4974,2642,113.880488,1.138806,5074,201112,"S92000003","S08000031","Type 1",4977,4684,293,4977,4684,"",293,7,0
"G306H","New Victoria Hospital","55 Grange Road","Glasgow","","","z","","z","G42 9LF","S08000031","S37000034","S12000049","S02001867","S01009904","Battlefield",4990,4974,2642,113.880488,1.138806,5074,201112,"S92000003","S08000031","Type 3",1340,1340,0,1340,1340,"",0,0,0
"G405H","Queen Elizabeth University Hospital","1345 Govan Road","Glasgow","","","z","","z","G51 4TF","S08000031","S37000034","S12000049","S02001855","S01009833","Drumoyne and Shieldhall",6268,6191,3173,328.281176,3.282811,6241,201112,"S92000003","S08000031","Type 1",3762,3534,228,3762,3534,"",228,8,0
"G408H","Florence Street Mental Health Resource Centre","26 Florence Street","Glasgow","","","z","","z","G5  0YX","S08000031","S37000034","S12000049","S02001889","S01010025","Gorbals and Hutchesontown",5824,5794,3288,82.427614,0.824274,6201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G410H","Shawmill Resource Centre","35 Well Green","Glasgow","","","z","","z","G43 1RR","S08000031","S37000034","S12000049","S02001873","S01009935","Pollokshaws",4487,4473,2589,383.451201,3.834513,4462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
